iter	Logloss
0	0.6096310576
1	0.5451785397
2	0.4980352713
3	0.4580147596
4	0.4248589376
5	0.4022153584
6	0.3859715342
7	0.3698334411
8	0.3574894582
9	0.3444090016
10	0.3329959706
11	0.3253429067
12	0.3167572349
13	0.3113404402
14	0.306073174
15	0.3005006307
16	0.2961856938
17	0.291746594
18	0.2867595345
19	0.2828700758
20	0.2774505659
21	0.2741011461
22	0.2717733304
23	0.2688119289
24	0.2662488088
25	0.2629714571
26	0.2608136541
27	0.2580738747
28	0.2563968267
29	0.2537526998
30	0.2514761333
31	0.2493438259
32	0.2472698152
33	0.2451439484
34	0.2421382685
35	0.2400076082
36	0.2383869097
37	0.2365862088
38	0.2348261198
39	0.2336197643
40	0.2315608827
41	0.2302131435
42	0.2290695127
43	0.2271901207
44	0.2255122307
45	0.2245289889
46	0.2219439807
47	0.2196733935
48	0.2186898716
49	0.2174856546
50	0.2165748877
51	0.2155629171
52	0.2151727756
53	0.2142821197
54	0.213416821
55	0.2123343001
56	0.210813052
57	0.2092667797
58	0.2083337828
59	0.2074578047
60	0.206922105
61	0.2058532588
62	0.2051740847
63	0.2035888685
64	0.2031695325
65	0.2021672501
66	0.2010852147
67	0.1999867251
68	0.1993063917
69	0.1983331604
70	0.1968443184
71	0.1964079971
72	0.1943075946
73	0.1929639733
74	0.191912608
75	0.191278243
76	0.1906512066
77	0.190170896
78	0.1891074313
79	0.1882152508
80	0.1875845163
81	0.1872753717
82	0.1864385066
83	0.1847411954
84	0.1839941414
85	0.1830711213
86	0.1823384598
87	0.1818255668
88	0.181344801
89	0.1804909984
90	0.1799784587
91	0.1795139464
92	0.1788627706
93	0.1786613828
94	0.1779575668
95	0.1772779791
96	0.1772181835
97	0.1762194463
98	0.1757510814
99	0.1749184295
100	0.1740012542
101	0.1727378349
102	0.1719696107
103	0.1718808695
104	0.1718436958
105	0.1708470159
106	0.1694176053
107	0.1687634732
108	0.1683464603
109	0.1683442089
110	0.1674027667
111	0.1666866515
112	0.1666615476
113	0.1657755757
114	0.1657567035
115	0.1656878393
116	0.1656136789
117	0.1648024304
118	0.1647576755
119	0.1641503586
120	0.1641481163
121	0.1627499447
122	0.1627478712
123	0.1619206352
124	0.1618654378
125	0.1609185445
126	0.1608604092
127	0.1603651218
128	0.159890497
129	0.1590588403
130	0.1590583785
131	0.1585908088
132	0.1580735321
133	0.1571273883
134	0.1571261636
135	0.1569568099
136	0.1569384321
137	0.1569373186
138	0.1568955986
139	0.1568949791
140	0.1559853283
141	0.1552604544
142	0.1543769924
143	0.1536505182
144	0.1535386805
145	0.1529389053
146	0.1523994898
147	0.1513307812
148	0.150773323
149	0.1505128071
150	0.1503548091
151	0.1495191593
152	0.1484716003
153	0.1476096306
154	0.1465257542
155	0.1464742946
156	0.14610155
157	0.1456544032
158	0.1449780364
159	0.1448841555
160	0.1443344582
161	0.1442487734
162	0.1442311074
163	0.1430912908
164	0.1430626946
165	0.1425439377
166	0.1424983763
167	0.1424983758
168	0.1424498444
169	0.1423938144
170	0.1420787503
171	0.1419415051
172	0.1419412911
173	0.1419291537
174	0.1418994987
175	0.1411197851
176	0.141110782
177	0.1406597555
178	0.1406471396
179	0.1404992659
180	0.1404975007
181	0.1404963678
182	0.140153702
183	0.140152661
184	0.1400259338
185	0.1400025935
186	0.140001247
187	0.1393223403
188	0.1386994559
189	0.1386979564
190	0.1383135079
191	0.1380859163
192	0.1380844795
193	0.1379769567
194	0.1367140985
195	0.1364098715
196	0.1364083072
197	0.1364067991
198	0.1360580196
199	0.1360565476
200	0.1360552135
201	0.1356925695
202	0.1350724506
203	0.1345037349
204	0.1345023373
205	0.1343155871
206	0.133896391
207	0.1338950236
208	0.1336669265
209	0.1336631348
210	0.1336617795
211	0.1336603942
212	0.1336589827
213	0.1334408439
214	0.1332722908
215	0.1332702704
216	0.1332608013
217	0.1326923952
218	0.1323235356
219	0.1323235066
220	0.1323228986
221	0.1321440944
222	0.1319690315
223	0.1319676865
224	0.1319176193
225	0.1316686921
226	0.1316524731
227	0.1316520996
228	0.1316512062
229	0.1308556373
230	0.1308545511
231	0.1308534211
232	0.1308389899
233	0.130818694
234	0.1301442637
235	0.1301137571
236	0.1301125963
237	0.1301113959
238	0.130106245
239	0.130105433
240	0.1295991929
241	0.1292208868
242	0.1292199578
243	0.1292188191
244	0.1290017523
245	0.1285840994
246	0.1284667477
247	0.128365549
248	0.1283581522
249	0.1278592675
250	0.1276898784
251	0.1276866738
252	0.1276437352
253	0.1269333849
254	0.126534901
255	0.126515919
256	0.1265152355
257	0.126290688
258	0.1261483907
259	0.1256936317
260	0.1249509215
261	0.1243005987
262	0.1242354732
263	0.124014904
264	0.1236966009
265	0.123048767
266	0.1222938622
267	0.1217050046
268	0.1213709862
269	0.1208422239
270	0.1204529534
271	0.1201961598
272	0.1201195292
273	0.1196036179
274	0.1195933502
275	0.1194312948
276	0.1191177005
277	0.1185087117
278	0.1185007733
279	0.1181066514
280	0.1181012952
281	0.117854783
282	0.1176151387
283	0.1171640209
284	0.1171588113
285	0.1170007742
286	0.1166932965
287	0.1163070376
288	0.1162951288
289	0.1160143726
290	0.1157884357
291	0.115587885
292	0.1155860015
293	0.1155744258
294	0.1154665239
295	0.1153817744
296	0.1150502463
297	0.1149387147
298	0.1143027396
299	0.1142503804
300	0.1139376663
301	0.1134819947
302	0.1132826577
303	0.1132824039
304	0.1132197208
305	0.1128811019
306	0.112710898
307	0.1124618388
308	0.1119394546
309	0.1118639832
310	0.1117457185
311	0.1112832888
312	0.1112831614
313	0.111098316
314	0.1110907221
315	0.111090525
316	0.1110903447
317	0.1110901686
318	0.1110900828
319	0.1109650675
320	0.1109648081
321	0.1109641994
322	0.110956537
323	0.1109477829
324	0.1109469037
325	0.110942987
326	0.110720647
327	0.1104252112
328	0.1097768858
329	0.1097707338
330	0.1092675909
331	0.1091009861
332	0.1086601281
333	0.1085536477
334	0.1085536296
335	0.1085535669
336	0.1085528957
337	0.1085461991
338	0.1085415376
339	0.1080929257
340	0.1080929261
341	0.1078896143
342	0.1078894781
343	0.1078802686
344	0.1073463784
345	0.1070202632
346	0.1070130317
347	0.1067857611
348	0.1066824996
349	0.1066731866
350	0.1064330735
351	0.1060643885
352	0.1060473268
353	0.1060471171
354	0.1060470304
355	0.1053376288
356	0.1050187338
357	0.1050186756
358	0.1048226557
359	0.1045305196
360	0.1042430586
361	0.1039055783
362	0.1036177193
363	0.1034076794
364	0.1032713417
365	0.1029607223
366	0.1025787297
367	0.1024743414
368	0.1020401576
369	0.1016216704
370	0.1009658417
371	0.1009563809
372	0.1009241811
373	0.1007595482
374	0.1005695082
375	0.100306028
376	0.1000600495
377	0.09953552668
378	0.09914353858
379	0.09913332175
380	0.09892973789
381	0.09858405701
382	0.0981910863
383	0.09797466892
384	0.09753379731
385	0.09732701772
386	0.09682753747
387	0.09660988909
388	0.09660928846
389	0.09660293474
390	0.09660239267
391	0.09653100707
392	0.09644369541
393	0.09642485451
394	0.0960713717
395	0.09562338162
396	0.09562336279
397	0.09562331377
398	0.09544133023
399	0.09543988366
400	0.09543976842
401	0.09527922709
402	0.09508193784
403	0.09504764108
404	0.09459857128
405	0.09455928629
406	0.09431652106
407	0.09426196368
408	0.09426189681
409	0.0942617697
410	0.09425909754
411	0.09381958314
412	0.09354346777
413	0.09337867759
414	0.09337863552
415	0.0931655216
416	0.09310200211
417	0.09306375321
418	0.09303060872
419	0.09303055159
420	0.0930305695
421	0.09302576801
422	0.09300321271
423	0.09276620207
424	0.09276597722
